Book Name,Author,Rating,Number of Reviews,Price,Description,Ranks,Genre,Listening Time
Make Today Count: The Secret of Your Success Is Determined by Your Daily Agenda,John C. Maxwell,4.7,307,500.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",1,Unknown,485.0
वॉयर - एक कामुक लघुकथा,सेसिलि रोसडैल,-1.0,1053,65.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",2,Unknown,485.0
The Mayo Clinic Guide to Stress-Free Living,Amit Sood MD MSc,4.6,325,836.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",3,Unknown,485.0
Things I Wish I'd Known Before We Got Married,Gary Chapman,4.7,1388,516.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",4,Unknown,485.0
"Captain Underpants and the Perilous Plot of Professor Poopypants: Captain Underpants, Book 4",Dav Pilkey,4.8,1007,258.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,Unknown,485.0
Passion and Purity: Learning to Bring Your Love Life Under Christ's Control,Elisabeth Elliot,4.8,156,608.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",6,Unknown,485.0
Ask: The Counterintuitive Online Method to Discover Exactly What Your Customers Want to Buy...Create a Mass of Raving Fans...and Take Any Business to the Next Level,Ryan Levesque,4.3,587,516.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",7,Unknown,485.0
Full Tilt: Ireland to India with a Bicycle,Dervla Murphy,4.7,167,633.0,"Full Tilt is the inspiring true story of Dervla Murphy's 1963 journey from Ireland to India on an Armstrong Cadet bicycle, and the trials, landscapes, and cultures she encountered along the way. The route takes her through the valleys and snowy mountain passes of Europe and India to the scorching deserts of Afghanistan and Pakistan, where the metal of her bicycle, Rozinante (named after Don Quixote's steed), becomes too hot to touch. She travels alone, without luxuries, sleeping on the floors of teahouses or on blankets outdoors, vulnerable to wild animals, insects, and thieves. However, she is often met with generosity and kindness, and shares many meaningful encounters with the locals. Her portrayal here gives a fascinating insight into the unique communities of the Middle East in the early 1960s. ",8,Unknown,485.0
The Walking Drum,Louis L'Amour,4.7,572,1131.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",9,Unknown,485.0
"The Marketing of Evil: How Radicals, Elitists and Pseudo-Experts Sell Us Corruption Disguised as Freedom",David Kupelian,4.7,490,586.0,"Americans have come to tolerate, embrace, and even champion many things that would have horrified their parents' generation - from easy divorce and unrestricted abortion on demand to extreme body piercing and teaching homosexuality to grade schoolers. Does that mean today's Americans are inherently more morally confused and depraved than previous generations? Of course not, says veteran journalist David Kupelian. But they have fallen victim to some of the most stunningly brilliant and compelling marketing campaigns in modern history. ",10,Unknown,485.0
Late-Talking Children: A Symptom or a Stage?,Stephen M. Camarata,4.6,92,703.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",11,Unknown,485.0
"Factfulness: Wie wir lernen, die Welt so zu sehen, wie sie wirklich ist",Hans Rosling,4.6,72,703.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",12,Unknown,485.0
The Little Prince,Antoine de Saint-Exupéry,3.3,58,234.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",13,Unknown,485.0
The Naked Face,Sidney Sheldon,4.3,168,702.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",14,Unknown,485.0
